,Date,Month,Team1Site,Team2Site,Team1,Team1_Win_Precentage,Final1,Open1,Close1,ML1,Team1_Conf,Team1_AP_Rank,Team1_W,Team1_L,Team1_OSRS,Team1_DSRS,Team1_SRS,Team1_ScoringOff,Team1_ScoringDef,Team1_PassingOff,Team1_PassingDef,Team1_RushingOff,Team1_RushingDef,Team1_TotalOff,Team1_TotalDef,Team2,Team2_Win_Precentage,Final2,Open2,Close2,ML2,Team2_Conf,Team2_AP_Rank,Team2_W,Team2_L,Team2_OSRS,Team2_DSRS,Team2_SRS,Team2_ScoringOff,Team2_ScoringDef,Team2_PassingOff,Team2_PassingDef,Team2_RushingOff,Team2_RushingDef,Team2_TotalOff,Team2_TotalDef,Team1_Win,Total_Open,Total_Close,Spread_Open,Spread_Close,Team1_Point_Dif,Team1Cover,Over_Under
493,10/30/2010,10,H,V,Mississippi,0.3333333333333333,31,60.0,60.5,240,SEC ,67.0,4.0,8.0,6.06,-7.88,-1.83,33.02,32.5,7.37,7.67,4.43,5.21,5.75,6.27,Auburn,1.0,51,8.5,6.5,-280,SEC ,1.0,14.0,0.0,16.15,4.52,20.66,46.36,18.58,10.6,6.13,5.84,3.94,7.52,5.19,0,60.0,60.5,8.5,6.5,-20,0,O
494,10/30/2010,10,H,V,Texas,0.4166666666666667,22,8.0,7.5,-290,Big 12 ,67.0,5.0,7.0,-2.82,4.53,1.71,25.17,20.28,6.46,6.08,3.19,4.46,4.94,4.84,Baylor,0.5384615384615384,30,52.5,54.5,245,Big 12 ,67.0,7.0,6.0,3.47,-1.85,1.62,32.16,27.79,7.94,7.39,4.68,5.58,6.38,6.32,0,52.5,54.5,-8.0,-7.5,-8,0,U
495,10/30/2010,10,H,V,IowaState,0.4166666666666667,28,19.0,17.5,-800,Big 12 ,67.0,5.0,7.0,-1.37,1.8,0.43,25.27,25.85,5.83,6.98,2.9,5.33,4.35,5.82,Kansas,0.25,16,52.5,54.5,600,Big 12 ,67.0,3.0,9.0,-8.02,-0.59,-8.61,18.1,31.9,5.65,7.9,2.33,5.8,3.91,6.5,1,52.5,54.5,-19.0,-17.5,12,0,U
496,10/30/2010,10,H,V,Temple,0.6666666666666666,30,27.0,29.5,-7750,MAC ,67.0,8.0,4.0,-4.5,1.11,-3.39,21.97,25.49,7.02,6.82,3.09,5.25,4.84,5.78,Akron,0.08333333333333333,0,49.0,50.0,4250,MAC ,67.0,1.0,11.0,-12.16,-9.38,-21.54,12.95,39.92,4.91,9.47,2.42,5.7,3.71,7.15,1,49.0,50.0,-27.0,-29.5,30,1,U
497,10/30/2010,10,H,V,KentState,0.4166666666666667,33,9.0,10.0,-400,MAC ,67.0,5.0,7.0,-7.5,-1.32,-8.82,18.28,29.03,5.66,6.82,2.4,4.28,4.15,5.45,BallState,0.3333333333333333,14,45.5,42.5,320,MAC ,67.0,4.0,8.0,-6.59,-8.24,-14.83,17.31,36.87,5.43,8.41,2.98,6.14,4.12,6.92,1,45.5,42.5,-9.0,-10.0,19,1,O
498,10/30/2010,10,H,V,Wyoming,0.25,38,48.0,49.5,320,MWC,67.0,3.0,9.0,-6.56,-2.76,-9.31,20.19,29.49,7.26,7.47,2.62,5.76,4.8,6.17,SanDiegoState,0.6923076923076923,48,10.5,10.0,-400,MWC,67.0,9.0,4.0,6.72,-0.66,6.07,34.26,24.41,9.07,6.08,3.36,5.01,6.33,5.53,0,48.0,49.5,10.5,10.0,-10,0,O
499,10/30/2010,10,H,V,NotreDame,0.6153846153846154,27,9.5,9.5,-340,Ind,67.0,8.0,5.0,3.15,7.2,10.35,30.65,16.22,6.98,5.69,3.42,4.38,5.34,5.11,Tulsa,0.7692307692307693,28,61.5,63.0,280,CUSA ,24.0,10.0,3.0,8.93,-3.97,4.95,36.33,30.0,7.71,8.33,4.16,5.23,5.89,6.65,0,61.5,63.0,-9.5,-9.5,-1,0,U
500,10/30/2010,10,H,V,Marshall,0.4166666666666667,16,3.0,2.5,-130,CUSA ,67.0,5.0,7.0,-6.5,-3.23,-9.73,18.66,30.41,6.11,6.66,2.48,5.05,4.48,5.77,UTEP,0.46153846153846156,12,52.0,54.0,110,CUSA ,67.0,6.0,7.0,-4.82,-3.31,-8.13,20.2,30.55,6.28,7.0,3.16,6.22,4.84,6.38,1,52.0,54.0,-3.0,-2.5,4,1,U
501,10/30/2010,10,H,V,Tulane,0.3333333333333333,17,54.0,54.0,300,CUSA ,67.0,4.0,8.0,-3.93,-9.5,-13.42,21.81,38.1,5.89,7.32,2.6,6.12,4.34,6.51,SMU,0.5,31,8.0,9.5,-360,CUSA ,67.0,7.0,7.0,-3.05,1.01,-2.04,23.13,24.28,7.32,6.45,3.67,4.64,5.71,5.39,0,54.0,54.0,8.0,9.5,-14,0,U
502,10/30/2010,10,H,V,CentralMichigan,0.25,14,11.0,13.0,-500,MAC ,67.0,3.0,9.0,-5.37,-4.37,-9.74,20.99,29.23,6.69,6.86,1.73,5.79,4.51,6.24,BowlingGreen,0.16666666666666666,17,53.0,52.0,400,MAC ,67.0,2.0,10.0,-7.3,-9.46,-16.76,18.15,36.89,5.68,7.48,1.13,6.67,3.72,6.8,0,53.0,52.0,-11.0,-13.0,-3,0,U
503,10/30/2010,10,H,V,WashingtonU,0.5384615384615384,0,63.0,63.5,245,Pac-10,67.0,7.0,6.0,2.45,3.11,5.55,30.41,22.93,7.46,6.6,4.2,5.17,5.79,5.57,Stanford,0.9230769230769231,41,7.0,7.0,-290,Pac-10,4.0,12.0,1.0,11.33,10.47,21.8,45.54,12.56,9.39,5.97,4.55,4.55,6.72,5.17,0,63.0,63.5,7.0,7.0,-41,0,U
505,10/30/2010,10,H,V,CentralFlorida,0.7857142857142857,49,7.0,8.5,-310,CUSA ,21.0,11.0,3.0,-1.62,7.41,5.79,26.95,18.33,8.39,6.34,3.36,4.65,5.19,5.38,EastCarolina,0.46153846153846156,35,54.5,53.0,255,CUSA ,67.0,6.0,7.0,11.27,-15.75,-4.48,37.37,43.37,6.44,7.63,3.73,6.29,5.39,6.79,1,54.5,53.0,-7.0,-8.5,14,1,O
506,10/30/2010,10,H,V,UCLA,0.3333333333333333,21,50.0,47.0,290,Pac-10,67.0,4.0,8.0,-2.55,3.18,0.62,26.24,22.33,5.9,6.44,3.75,5.75,4.82,5.84,ArizonaU,0.5384615384615384,29,9.5,8.5,-350,Pac-10,67.0,7.0,6.0,2.76,5.38,8.14,33.6,16.37,8.19,6.08,3.38,4.19,6.0,4.91,0,50.0,47.0,9.5,8.5,-8,1,O
507,10/30/2010,10,H,V,KansasState,0.5384615384615384,14,67.5,66.0,160,Big 12 ,67.0,7.0,6.0,8.07,-3.96,4.11,36.21,29.37,8.2,7.22,3.77,6.82,5.6,6.88,OklahomaState,0.8461538461538461,24,6.0,4.0,-180,Big 12 ,13.0,11.0,2.0,15.1,1.53,16.62,45.46,22.96,8.54,5.97,4.08,4.53,6.55,5.17,0,67.5,66.0,6.0,4.0,-10,0,U
508,10/30/2010,10,H,V,Nebraska,0.7142857142857143,31,6.0,8.0,-330,Big 12 ,20.0,10.0,4.0,4.04,8.81,12.85,32.54,15.5,7.77,5.64,4.43,5.07,5.82,5.04,Missouri,0.7692307692307693,17,54.5,54.5,270,Big 12 ,18.0,10.0,3.0,3.09,10.89,13.98,32.25,13.9,6.96,5.84,3.78,5.32,5.47,5.43,1,54.5,54.5,-6.0,-8.0,14,1,U
509,10/30/2010,10,H,V,Oklahoma,0.8571428571428571,43,22.0,26.0,-3000,Big 12 ,6.0,12.0,2.0,10.21,6.91,17.11,41.43,17.63,8.09,5.79,2.6,4.73,5.52,5.18,Colorado,0.4166666666666667,10,52.0,54.5,1350,Big 12 ,67.0,5.0,7.0,1.42,-0.68,0.75,27.53,26.8,6.99,7.71,2.67,4.87,4.86,6.03,1,52.0,54.5,-22.0,-26.0,33,1,U
510,10/30/2010,10,H,V,BuffaloU,0.16666666666666666,9,45.5,44.5,125,MAC ,67.0,2.0,10.0,-14.7,-4.5,-19.2,9.78,32.9,4.7,7.21,1.72,5.02,3.28,5.77,MiamiOhio,0.7142857142857143,21,2.5,2.5,-145,MAC ,67.0,10.0,4.0,-6.14,0.27,-5.86,18.35,28.07,6.72,7.62,1.97,5.35,4.61,6.31,0,45.5,44.5,2.5,2.5,-12,0,U
511,10/30/2010,10,H,V,TexasA&M,0.6923076923076923,45,6.0,7.0,-300,Big 12 ,19.0,9.0,4.0,5.1,6.28,11.39,34.34,17.94,7.4,5.77,3.28,4.29,5.42,4.9,TexasTech,0.6153846153846154,27,59.0,62.5,250,Big 12 ,67.0,8.0,5.0,5.87,-2.82,3.06,33.93,28.75,7.01,7.32,3.29,5.28,5.45,6.13,1,59.0,62.5,-6.0,-7.0,18,1,O
512,10/30/2010,10,H,V,Navy,0.6923076923076923,31,14.5,13.0,-450,Ind,67.0,9.0,4.0,1.01,2.47,3.49,27.87,22.74,10.0,6.89,4.32,5.69,5.73,6.16,Duke,0.25,34,54.0,56.0,350,ACC ,67.0,3.0,9.0,2.64,-7.23,-4.59,29.26,34.35,7.05,8.36,2.72,5.48,5.1,6.63,0,54.0,56.0,-14.5,-13.0,-3,0,O
513,10/30/2010,10,H,V,EasternMichigan,0.16666666666666666,7,59.0,56.5,320,MAC ,67.0,2.0,10.0,-7.24,-11.83,-19.07,18.15,47.42,6.54,9.38,3.04,7.38,4.49,8.03,Toledo,0.6153846153846154,42,11.0,11.5,-400,MAC ,67.0,8.0,5.0,-0.69,-3.02,-3.7,25.97,31.07,6.84,6.88,3.23,5.24,4.96,5.95,0,59.0,56.5,11.0,11.5,-35,0,U
514,10/30/2010,10,H,V,Nevada,0.9285714285714286,56,24.0,27.5,-4000,WAC,11.0,13.0,1.0,11.09,0.87,11.96,40.27,23.71,8.59,7.05,4.93,5.52,6.56,6.18,UtahState,0.3333333333333333,42,60.0,65.0,1500,WAC,67.0,4.0,8.0,-3.18,-4.46,-7.64,22.4,31.67,6.92,6.89,2.67,6.29,4.53,6.28,1,60.0,65.0,-24.0,-27.5,14,0,O
515,10/30/2010,10,H,V,NewMexicoState,0.16666666666666666,29,46.0,46.5,140,WAC,67.0,2.0,10.0,-10.39,-7.74,-18.13,14.36,39.1,5.49,7.64,2.14,7.19,3.84,7.11,SanJoseState,0.07692307692307693,27,2.5,3.5,-160,WAC,67.0,1.0,12.0,-8.71,-3.69,-12.4,16.64,32.12,7.19,7.5,1.77,6.15,4.8,6.54,1,46.0,46.5,2.5,3.5,2,1,O
516,10/30/2010,10,H,V,ColoradoState,0.25,38,16.0,15.0,-700,MWC,67.0,3.0,9.0,-8.99,-1.87,-10.86,17.45,33.64,6.98,8.41,2.38,6.24,4.77,6.84,NewMexico,0.08333333333333333,14,52.5,51.5,500,MWC,67.0,1.0,11.0,-8.77,-9.0,-17.76,17.09,42.56,5.49,7.85,1.79,6.3,3.64,6.63,1,52.5,51.5,-16.0,-15.0,24,1,O
517,10/30/2010,10,H,V,OregonState,0.4166666666666667,35,4.0,2.5,-145,Pac-10,67.0,5.0,7.0,4.57,3.03,7.6,33.39,18.03,7.61,6.86,3.33,4.58,5.52,5.34,California,0.4166666666666667,7,55.5,54.0,125,Pac-10,67.0,5.0,7.0,-2.22,7.57,5.35,30.89,16.09,6.64,5.63,3.79,4.26,5.17,4.71,1,55.5,54.0,-4.0,-2.5,28,1,U
518,10/30/2010,10,H,V,ArizonaState,0.5,42,21.0,22.5,-1700,Pac-10,67.0,6.0,6.0,6.84,1.58,8.42,36.97,19.85,7.79,6.42,3.29,3.9,5.73,5.08,WashingtonState,0.16666666666666666,0,55.0,57.5,1000,Pac-10,67.0,2.0,10.0,-2.04,-2.15,-4.2,25.98,28.86,8.16,7.79,2.2,6.06,5.14,6.57,1,55.0,57.5,-21.0,-22.5,42,1,U
519,10/30/2010,10,H,V,Memphis,0.08333333333333333,17,60.5,60.0,425,CUSA ,67.0,1.0,11.0,-13.88,-5.55,-19.43,13.09,38.73,7.0,9.37,1.96,5.19,4.37,6.89,HoustonU,0.4166666666666667,56,13.0,14.0,-550,CUSA ,67.0,5.0,7.0,6.65,-8.76,-2.11,35.34,33.84,7.76,7.39,3.6,5.88,5.87,6.37,0,60.5,60.0,13.0,14.0,-39,0,O
520,10/30/2010,10,H,V,AirForce,0.6923076923076923,23,56.0,55.0,220,MWC,67.0,9.0,4.0,4.05,2.82,6.87,31.06,21.31,9.23,5.64,4.23,5.98,5.62,5.73,Utah,0.7692307692307693,28,7.0,6.5,-260,MWC,67.0,10.0,3.0,2.92,5.38,8.3,35.2,20.02,8.19,7.3,3.67,4.45,5.99,5.64,0,56.0,55.0,7.0,6.5,-5,1,U
521,10/30/2010,10,H,V,MinnesotaU,0.25,10,54.0,55.0,1350,Big Ten,67.0,3.0,9.0,0.37,-5.43,-5.06,26.59,30.4,7.65,8.31,2.9,5.86,5.12,6.76,OhioState,0.9230769230769231,52,25.5,25.5,-3000,Big Ten,5.0,12.0,1.0,4.66,12.7,17.37,39.18,12.59,8.45,5.12,4.35,3.81,6.09,4.44,0,54.0,55.0,25.5,25.5,-42,0,O
522,10/30/2010,10,H,V,PennState,0.5384615384615384,41,53.5,54.5,130,Big Ten,67.0,7.0,6.0,0.1,2.87,2.96,27.17,21.43,7.31,6.22,3.5,5.31,5.37,5.6,Michigan,0.5384615384615384,31,2.5,3.0,-150,Big Ten,67.0,7.0,6.0,9.12,-7.71,1.41,36.76,33.63,8.93,8.21,4.99,5.34,6.65,6.46,1,53.5,54.5,2.5,3.0,10,1,O
523,10/30/2010,10,H,V,USC,0.6153846153846154,32,73.0,72.0,210,Pac-10,67.0,8.0,5.0,8.08,1.48,9.57,37.27,20.35,7.45,6.65,4.58,5.11,6.07,5.77,Oregon,0.9230769230769231,53,6.0,6.0,-250,Pac-10,3.0,12.0,1.0,13.04,8.5,21.54,51.13,14.36,8.43,5.29,5.28,4.28,6.68,4.71,0,73.0,72.0,6.0,6.0,-21,0,O
524,10/30/2010,10,H,V,UNLV,0.15384615384615385,6,54.0,57.0,8000,MWC,67.0,2.0,11.0,-6.25,-5.61,-11.86,21.27,36.37,6.73,8.3,2.02,6.18,4.24,6.68,TCU,1.0,48,35.5,34.5,-15000,MWC,2.0,13.0,0.0,5.64,12.32,17.96,41.33,12.25,8.98,4.78,4.26,4.42,6.23,4.49,0,54.0,57.0,35.5,34.5,-42,0,U
525,10/30/2010,10,H,V,Hawaii,0.7142857142857143,45,13.5,15.5,-600,WAC,67.0,10.0,4.0,5.69,0.86,6.55,37.78,25.54,8.71,6.85,3.49,4.93,6.91,5.68,Idaho,0.46153846153846156,10,61.0,66.5,450,WAC,67.0,6.0,7.0,-1.41,-1.36,-2.77,24.89,28.93,6.91,6.72,1.66,6.32,4.84,6.3,1,61.0,66.5,-13.5,-15.5,35,1,U
526,10/30/2010,10,H,V,Ohio,0.6153846153846154,38,13.5,17.0,-700,MAC ,67.0,8.0,5.0,-2.3,-3.49,-5.79,21.89,30.57,7.35,8.11,3.16,5.27,4.84,6.41,ULLafayette,0.25,31,53.0,51.0,500,Sun Belt,67.0,3.0,9.0,-6.93,-9.98,-16.92,18.3,38.64,6.56,7.8,1.75,5.46,4.37,6.38,1,53.0,51.0,-13.5,-17.0,7,0,O
527,10/30/2010,10,H,V,WesternKentucky,0.16666666666666666,6,3.5,6.0,-250,Sun Belt,67.0,2.0,10.0,-7.0,-8.37,-15.37,19.23,36.18,5.59,7.47,3.02,6.25,4.25,6.57,NorthTexas,0.25,33,51.5,52.5,210,Sun Belt,67.0,3.0,9.0,-6.78,-7.4,-14.18,18.96,33.16,6.14,7.96,3.71,6.09,4.89,6.73,0,51.5,52.5,-3.5,-6.0,-27,0,U
528,10/30/2010,10,H,V,ULMonroe,0.4166666666666667,28,56.0,55.0,550,Sun Belt,67.0,5.0,7.0,-7.5,-3.54,-11.04,17.51,33.78,6.58,7.14,1.91,5.36,4.23,6.04,Troy,0.6153846153846154,14,14.5,17.0,-750,Sun Belt,67.0,8.0,5.0,2.19,-6.29,-4.1,29.37,34.0,7.03,7.7,3.15,5.8,5.31,6.51,1,56.0,55.0,14.5,17.0,14,1,U
529,10/30/2010,10,H,V,FloridaAtlantic,0.3333333333333333,21,46.0,47.0,170,Sun Belt,67.0,4.0,8.0,-11.47,-4.43,-15.9,13.06,32.79,7.18,7.74,1.73,5.76,4.41,6.26,FloridaIntl,0.5384615384615384,9,5.5,4.5,-200,Sun Belt,67.0,7.0,6.0,0.1,-4.81,-4.71,25.69,30.63,6.89,7.03,3.69,6.03,5.23,6.3,1,46.0,47.0,5.5,4.5,12,1,U
532,11/02/2010,11,H,V,ArkansasState,0.3333333333333333,51,57.5,57.5,115,Sun Belt,67.0,4.0,8.0,0.56,-8.01,-7.45,26.43,33.67,6.77,8.13,3.01,5.54,5.01,6.39,MiddleTennSt,0.46153846153846156,24,1.5,2.5,-135,Sun Belt,67.0,6.0,7.0,-3.79,-6.81,-10.59,20.26,34.49,5.73,7.04,3.1,5.71,4.42,5.99,1,57.5,57.5,1.5,2.5,27,1,O
533,11/03/2010,11,H,V,SouthFlorida,0.6153846153846154,28,10.0,10.0,-380,Big East,67.0,8.0,5.0,-0.69,2.85,2.15,27.0,21.56,6.9,6.51,3.29,4.39,4.93,5.28,Rutgers,0.3333333333333333,27,41.5,43.5,310,Big East,67.0,4.0,8.0,-3.75,-3.02,-6.76,22.79,27.92,7.38,8.03,2.06,5.11,4.44,6.31,1,41.5,43.5,-10.0,-10.0,1,0,O
534,11/04/2010,11,H,V,Ohio,0.6153846153846154,34,14.0,16.5,-700,MAC ,67.0,8.0,5.0,-2.3,-3.49,-5.79,21.89,30.57,7.35,8.11,3.16,5.27,4.84,6.41,BuffaloU,0.16666666666666666,17,45.0,47.5,500,MAC ,67.0,2.0,10.0,-14.7,-4.5,-19.2,9.78,32.9,4.7,7.21,1.72,5.02,3.28,5.77,1,45.0,47.5,-14.0,-16.5,17,1,O
535,11/04/2010,11,H,V,VirginiaTech,0.7857142857142857,28,14.5,13.5,-500,ACC ,16.0,11.0,3.0,7.39,6.64,14.03,36.14,17.19,8.59,6.49,4.16,5.57,5.98,5.85,GeorgiaTech,0.46153846153846156,21,56.0,56.5,400,ACC ,67.0,6.0,7.0,0.55,0.24,0.8,27.54,24.55,6.61,7.08,4.68,5.52,5.46,6.1,1,56.0,56.5,-14.5,-13.5,7,0,U
536,11/05/2010,11,H,V,CentralMichigan,0.25,26,4.0,3.0,-140,MAC ,67.0,3.0,9.0,-5.37,-4.37,-9.74,20.99,29.23,6.69,6.86,1.73,5.79,4.51,6.24,WesternMichigan,0.5,22,51.0,54.0,120,MAC ,67.0,6.0,6.0,-1.47,-2.63,-4.1,27.8,28.66,6.84,8.17,2.57,5.91,4.94,6.63,1,51.0,54.0,-4.0,-3.0,4,1,U
537,11/05/2010,11,H,V,HoustonU,0.4166666666666667,33,60.0,63.5,110,CUSA ,67.0,5.0,7.0,6.65,-8.76,-2.11,35.34,33.84,7.76,7.39,3.6,5.88,5.87,6.37,CentralFlorida,0.7857142857142857,40,3.5,2.5,-130,CUSA ,21.0,11.0,3.0,-1.62,7.41,5.79,26.95,18.33,8.39,6.34,3.36,4.65,5.19,5.38,0,60.0,63.5,3.5,2.5,-7,0,O
538,11/06/2010,11,H,V,Army,0.5384615384615384,22,51.0,48.5,205,Ind,67.0,7.0,6.0,-0.68,-1.75,-2.43,24.18,27.07,7.16,7.79,3.33,5.4,4.34,6.36,AirForce,0.6923076923076923,42,8.0,6.5,-255,MWC,67.0,9.0,4.0,4.05,2.82,6.87,31.06,21.31,9.23,5.64,4.23,5.98,5.62,5.73,0,51.0,48.5,8.0,6.5,-20,0,O
539,11/06/2010,11,H,V,MiamiFlorida,0.5384615384615384,26,12.5,9.5,-370,ACC ,67.0,7.0,6.0,2.12,6.14,8.26,31.46,18.03,7.45,5.73,4.32,4.86,5.84,5.01,Maryland,0.6923076923076923,20,46.5,46.0,290,ACC ,23.0,9.0,4.0,2.77,4.25,7.02,33.76,20.85,7.31,5.91,3.43,4.21,5.32,5.07,1,46.5,46.0,-12.5,-9.5,6,0,P
540,11/06/2010,11,H,V,Clemson,0.46153846153846156,14,2.5,4.0,-170,ACC ,67.0,6.0,7.0,0.21,7.14,7.35,28.11,16.33,6.62,6.26,3.61,4.05,5.03,4.98,NCState,0.6923076923076923,13,51.0,54.0,145,ACC ,25.0,9.0,4.0,6.34,4.66,11.0,35.2,19.44,7.06,7.11,2.98,4.15,5.16,5.56,1,51.0,54.0,-2.5,-4.0,1,0,U
541,11/06/2010,11,H,V,Duke,0.25,55,1.0,54.5,-105,ACC ,67.0,3.0,9.0,2.64,-7.23,-4.59,29.26,34.35,7.05,8.36,2.72,5.48,5.1,6.63,Virginia,0.3333333333333333,48,56.5,2.0,-115,ACC ,67.0,4.0,8.0,-1.1,-2.2,-3.29,26.23,27.87,7.2,7.57,3.1,5.94,5.24,6.43,1,56.5,54.5,-1.0,-2.0,7,1,O
542,11/06/2010,11,H,V,Syracuse,0.6153846153846154,20,6.0,7.0,-300,Big East,67.0,8.0,5.0,-2.91,4.22,1.3,23.04,21.43,6.41,6.18,3.35,4.64,4.84,5.22,Louisville,0.5384615384615384,28,43.0,43.5,240,Big East,67.0,7.0,6.0,-2.23,4.94,2.71,27.19,20.05,6.75,6.48,4.29,5.02,5.49,5.48,0,43.0,43.5,-6.0,-7.0,-8,0,O
543,11/06/2010,11,H,V,Indiana,0.4166666666666667,13,53.5,53.5,750,Big Ten,67.0,5.0,7.0,0.74,-5.22,-4.49,27.01,33.68,6.68,8.23,2.58,5.89,5.0,6.97,Iowa,0.6153846153846154,18,16.5,18.5,-1100,Big Ten,67.0,8.0,5.0,1.62,8.53,10.15,30.46,14.82,8.61,5.88,3.3,4.12,5.77,5.1,0,53.5,53.5,16.5,18.5,-5,1,U
544,11/06/2010,11,H,V,Michigan,0.5384615384615384,67,2.0,2.5,-145,Big Ten,67.0,7.0,6.0,9.12,-7.71,1.41,36.76,33.63,8.93,8.21,4.99,5.34,6.65,6.46,Illinois,0.5384615384615384,65,54.5,58.5,125,Big Ten,67.0,7.0,6.0,5.51,2.26,7.77,33.39,21.7,6.94,6.62,4.15,4.65,5.26,5.55,1,54.5,58.5,-2.0,-2.5,2,0,O
545,11/06/2010,11,H,V,WakeForest,0.25,13,51.0,48.0,160,ACC ,67.0,3.0,9.0,-0.88,-4.2,-5.07,27.59,33.34,5.96,6.97,3.62,5.4,4.64,6.11,BostonCollege,0.5384615384615384,23,2.0,3.5,-190,ACC ,67.0,7.0,6.0,-4.98,7.12,2.15,21.35,17.4,6.55,5.85,2.99,3.57,4.59,4.79,0,51.0,48.0,2.0,3.5,-10,0,U
546,11/06/2010,11,H,V,PennState,0.5384615384615384,35,6.5,6.5,-230,Big Ten,67.0,7.0,6.0,0.1,2.87,2.96,27.17,21.43,7.31,6.22,3.5,5.31,5.37,5.6,Northwestern,0.5384615384615384,21,44.5,49.5,190,Big Ten,67.0,7.0,6.0,0.9,-2.34,-1.44,26.55,28.98,7.85,6.71,2.81,6.29,4.95,6.42,1,44.5,49.5,-6.5,-6.5,14,1,O
547,11/06/2010,11,H,V,Purdue,0.3333333333333333,13,52.5,49.0,900,Big Ten,67.0,4.0,8.0,-5.98,0.8,-5.18,19.78,26.49,5.09,6.76,3.41,4.42,4.22,5.47,Wisconsin,0.8461538461538461,34,20.0,20.0,-1300,Big Ten,7.0,11.0,2.0,9.19,4.83,14.02,42.36,19.25,9.48,6.41,4.63,5.04,6.39,5.58,0,52.5,49.0,20.0,20.0,-21,0,U
548,11/06/2010,11,H,V,MichiganState,0.8461538461538461,31,25.0,24.0,-2700,Big Ten,14.0,11.0,2.0,4.4,5.51,9.91,31.79,21.05,8.36,6.29,3.63,4.76,5.88,5.5,MinnesotaU,0.25,8,57.0,59.5,1500,Big Ten,67.0,3.0,9.0,0.37,-5.43,-5.06,26.59,30.4,7.65,8.31,2.9,5.86,5.12,6.76,1,57.0,59.5,-25.0,-24.0,23,0,U
549,11/06/2010,11,H,V,FloridaState,0.7142857142857143,35,9.5,10.5,-440,ACC ,17.0,10.0,4.0,6.93,7.27,14.2,36.82,16.63,8.03,6.49,4.42,4.38,6.07,5.28,NorthCarolina,0.6153846153846154,37,48.5,51.0,340,ACC ,67.0,8.0,5.0,1.09,4.06,5.15,27.75,20.28,8.15,6.29,2.92,4.54,5.57,5.32,0,48.5,51.0,-9.5,-10.5,-2,0,O
550,11/06/2010,11,H,V,OklahomaState,0.8461538461538461,55,9.0,10.0,-360,Big 12 ,13.0,11.0,2.0,15.1,1.53,16.62,45.46,22.96,8.54,5.97,4.08,4.53,6.55,5.17,Baylor,0.5384615384615384,28,71.5,72.0,280,Big 12 ,67.0,7.0,6.0,3.47,-1.85,1.62,32.16,27.79,7.94,7.39,4.68,5.58,6.38,6.32,1,71.5,72.0,-9.0,-10.0,27,1,O
551,11/06/2010,11,H,V,SouthCarolina,0.6428571428571429,20,3.0,4.0,-195,SEC ,22.0,9.0,5.0,5.77,7.2,12.97,35.43,16.75,9.01,6.42,3.81,3.71,6.11,5.05,Arkansas,0.7692307692307693,41,56.0,60.5,165,SEC ,12.0,10.0,3.0,11.35,3.13,14.48,41.59,19.8,9.9,6.34,4.29,4.62,7.23,5.24,0,56.0,60.5,-3.0,-4.0,-21,0,O
552,11/06/2010,11,H,V,Vanderbilt,0.16666666666666666,14,45.5,46.0,500,SEC ,67.0,2.0,10.0,-10.4,0.82,-9.57,18.69,26.64,5.61,7.24,3.23,5.01,4.41,5.81,Florida,0.6153846153846154,55,13.0,14.0,-700,SEC ,67.0,8.0,5.0,5.35,3.95,9.3,35.7,19.07,6.77,5.53,3.94,4.3,5.26,4.75,0,45.5,46.0,13.0,14.0,-41,0,O
553,11/06/2010,11,H,V,Kansas,0.25,52,50.5,47.0,265,Big 12 ,67.0,3.0,9.0,-8.02,-0.59,-8.61,18.1,31.9,5.65,7.9,2.33,5.8,3.91,6.5,Colorado,0.4166666666666667,45,10.0,7.5,-335,Big 12 ,67.0,5.0,7.0,1.42,-0.68,0.75,27.53,26.8,6.99,7.71,2.67,4.87,4.86,6.03,1,50.5,47.0,10.0,7.5,7,1,O
554,11/06/2010,11,H,V,BallState,0.3333333333333333,37,13.5,12.5,-525,MAC ,67.0,4.0,8.0,-6.59,-8.24,-14.83,17.31,36.87,5.43,8.41,2.98,6.14,4.12,6.92,Akron,0.08333333333333333,30,48.0,49.0,400,MAC ,67.0,1.0,11.0,-12.16,-9.38,-21.54,12.95,39.92,4.91,9.47,2.42,5.7,3.71,7.15,1,48.0,49.0,-13.5,-12.5,7,0,O
555,11/06/2010,11,H,V,BYU,0.5384615384615384,55,18.0,19.0,-1100,MWC,67.0,7.0,6.0,-2.61,3.94,1.33,26.73,20.46,6.19,5.95,3.02,4.83,4.65,5.3,UNLV,0.15384615384615385,7,50.5,49.5,750,MWC,67.0,2.0,11.0,-6.25,-5.61,-11.86,21.27,36.37,6.73,8.3,2.02,6.18,4.24,6.68,1,50.5,49.5,-18.0,-19.0,48,1,O
556,11/06/2010,11,H,V,Tulsa,0.7692307692307693,64,17.0,17.0,-900,CUSA ,24.0,10.0,3.0,8.93,-3.97,4.95,36.33,30.0,7.71,8.33,4.16,5.23,5.89,6.65,Rice,0.3333333333333333,27,62.5,62.5,650,CUSA ,67.0,4.0,8.0,0.06,-11.14,-11.08,25.62,38.35,7.11,8.74,2.63,4.88,4.68,6.65,1,62.5,62.5,-17.0,-17.0,37,1,O
